url,released_on,name,score,aired_on,kind,episodes,image,episodes_aired,russian,id,status
/animes/10319-chou-dendou-robo-tetsujin-28-gou-fx,1993-03-30,Chou Dendou Robo Tetsujin 28-gou FX,6.42,1992-04-05,tv,47,"{'original': '/system/animes/original/10319.jpg?1701403731', 'preview': '/system/animes/preview/10319.jpg?1701403731', 'x96': '/system/animes/x96/10319.jpg?1701403731', 'x48': '/system/animes/x48/10319.jpg?1701403731'}",0,Железный человек №28 Эф-Экс,10319,released
/animes/10321-uta-no-prince-sama-maji-love-1000,2011-09-24,Uta no☆Prince-sama♪ Maji Love 1000%,7.02,2011-07-03,tv,13,"{'original': '/system/animes/original/10321.jpg?1701447545', 'preview': '/system/animes/preview/10321.jpg?1701447545', 'x96': '/system/animes/x96/10321.jpg?1701447545', 'x48': '/system/animes/x48/10321.jpg?1701447545'}",13,Поющий принц: Реально 1000% любовь,10321,released
/animes/10324-tono-to-issho-gantai-no-yabou,2011-06-21,Tono to Issho: Gantai no Yabou,6.37,2011-04-05,tv,12,"{'original': '/system/animes/original/10324.jpg?1701445927', 'preview': '/system/animes/preview/10324.jpg?1701445927', 'x96': '/system/animes/x96/10324.jpg?1701445927', 'x48': '/system/animes/x48/10324.jpg?1701445927'}",3,Вместе с господином 2,10324,released
/animes/10336-last-exile-ginyoku-no-fam,2012-03-24,Last Exile: Ginyoku no Fam,7.07,2011-10-15,tv,21,"{'original': '/system/animes/original/10336.jpg?1701422856', 'preview': '/system/animes/preview/10336.jpg?1701422856', 'x96': '/system/animes/x96/10336.jpg?1701422856', 'x48': '/system/animes/x48/10336.jpg?1701422856'}",21,Изгнанник: Среброкрылая Фам,10336,released
/animes/10338-honto-ni-atta-reibai-sensei,2011-09-14,Honto ni Atta! Reibai Sensei,6.51,2011-04-13,tv,22,"{'original': '/system/animes/original/10338.jpg?1701414748', 'preview': '/system/animes/preview/10338.jpg?1701414748', 'x96': '/system/animes/x96/10338.jpg?1701414748', 'x48': '/system/animes/x48/10338.jpg?1701414748'}",19,Учитель-медиум,10338,released
/animes/10346-ring-ni-kakero-1-sekai-taikai-hen,2011-06-12,Ring ni Kakero 1: Sekai Taikai-hen,6.49,2011-04-10,tv,6,"{'original': '/system/animes/original/10346.jpg?1701436251', 'preview': '/system/animes/preview/10346.jpg?1701436251', 'x96': '/system/animes/x96/10346.jpg?1701436251', 'x48': '/system/animes/x48/10346.jpg?1701436251'}",11,Состязание на ринге 1: Мировой чемпионат,10346,released
/animes/10347-happy-kappy,2011-10-05,Happy Kappy,5.4,2011-04-06,tv,25,"{'original': '/system/animes/original/10347.jpg?1701412480', 'preview': '/system/animes/preview/10347.jpg?1701412480', 'x96': '/system/animes/x96/10347.jpg?1701412480', 'x48': '/system/animes/x48/10347.jpg?1701412480'}",24,Счастливая  Каппи,10347,released
/animes/10348-fireball-charming,2011-06-27,Fireball Charming,6.75,2011-04-04,tv,13,"{'original': '/system/animes/original/10348.jpg?1701408835', 'preview': '/system/animes/preview/10348.jpg?1701408835', 'x96': '/system/animes/x96/10348.jpg?1701408835', 'x48': '/system/animes/x48/10348.jpg?1701408835'}",12,Прелестный Файрбол,10348,released
/animes/10349-suzy-s-zoo-daisuki-witzy,2011-10-04,Suzy's Zoo: Daisuki! Witzy,5.87,2011-04-03,tv,25,"{'original': '/system/animes/original/10349.jpg?1701442627', 'preview': '/system/animes/preview/10349.jpg?1701442627', 'x96': '/system/animes/x96/10349.jpg?1701442627', 'x48': '/system/animes/x48/10349.jpg?1701442627'}",0,Зоопарк Сузи,10349,released
/animes/10359-jewelpet-sunshine,2012-03-31,Jewelpet Sunshine,6.84,2011-04-09,tv,52,"{'original': '/system/animes/original/10359.jpg?1701416568', 'preview': '/system/animes/preview/10359.jpg?1701416568', 'x96': '/system/animes/x96/10359.jpg?1701416568', 'x48': '/system/animes/x48/10359.jpg?1701416568'}",52,Свет драгоценных зверушек 3,10359,released
